id,home_team,away_team,win,loss,game_number,date,year
Utah Starzz,Utah Starzz,Sacramento Monarchs,0.0,1.0,1.0,866865600.0,1997.0
Cleveland Rockers,Cleveland Rockers,Houston Comets,0.0,1.0,1.0,866865600.0,1997.0
New York Liberty,Los Angeles Sparks,New York Liberty,1.0,0.0,1.0,866865600.0,1997.0
Los Angeles Sparks,Los Angeles Sparks,New York Liberty,0.0,1.0,1.0,866865600.0,1997.0
Houston Comets,Cleveland Rockers,Houston Comets,1.0,0.0,1.0,866865600.0,1997.0
Sacramento Monarchs,Utah Starzz,Sacramento Monarchs,1.0,0.0,1.0,866865600.0,1997.0
Phoenix Mercury,Phoenix Mercury,Charlotte Sting,1.0,0.0,1.0,866952000.0,1997.0
Charlotte Sting,Phoenix Mercury,Charlotte Sting,0.0,1.0,1.0,866952000.0,1997.0
Los Angeles Sparks,Utah Starzz,Los Angeles Sparks,0.0,2.0,2.0,867038400.0,1997.0
Sacramento Monarchs,Sacramento Monarchs,New York Liberty,1.0,1.0,2.0,867038400.0,1997.0
New York Liberty,Sacramento Monarchs,New York Liberty,2.0,0.0,2.0,867038400.0,1997.0
Utah Starzz,Utah Starzz,Los Angeles Sparks,1.0,1.0,2.0,867038400.0,1997.0
Houston Comets,Houston Comets,Phoenix Mercury,2.0,0.0,2.0,867124800.0,1997.0
Phoenix Mercury,Houston Comets,Phoenix Mercury,1.0,1.0,2.0,867124800.0,1997.0
Charlotte Sting,Los Angeles Sparks,Charlotte Sting,0.0,2.0,2.0,867211200.0,1997.0
Los Angeles Sparks,Los Angeles Sparks,Charlotte Sting,1.0,2.0,3.0,867211200.0,1997.0
Houston Comets,Houston Comets,New York Liberty,2.0,1.0,3.0,867297600.0,1997.0
Utah Starzz,Cleveland Rockers,Utah Starzz,1.0,2.0,3.0,867297600.0,1997.0
Cleveland Rockers,Cleveland Rockers,Utah Starzz,1.0,1.0,2.0,867297600.0,1997.0
New York Liberty,Houston Comets,New York Liberty,3.0,0.0,3.0,867297600.0,1997.0
Sacramento Monarchs,Sacramento Monarchs,Charlotte Sting,2.0,1.0,3.0,867297600.0,1997.0
Charlotte Sting,Sacramento Monarchs,Charlotte Sting,0.0,3.0,3.0,867297600.0,1997.0
Sacramento Monarchs,Los Angeles Sparks,Sacramento Monarchs,2.0,2.0,4.0,867384000.0,1997.0
Los Angeles Sparks,Los Angeles Sparks,Sacramento Monarchs,2.0,2.0,4.0,867384000.0,1997.0
Cleveland Rockers,Cleveland Rockers,Phoenix Mercury,1.0,2.0,3.0,867470400.0,1997.0
Phoenix Mercury,Cleveland Rockers,Phoenix Mercury,2.0,1.0,3.0,867470400.0,1997.0
Houston Comets,Utah Starzz,Houston Comets,3.0,1.0,4.0,867470400.0,1997.0
Utah Starzz,Utah Starzz,Houston Comets,1.0,3.0,4.0,867470400.0,1997.0
New York Liberty,New York Liberty,Phoenix Mercury,4.0,0.0,4.0,867556800.0,1997.0
Charlotte Sting,Charlotte Sting,Cleveland Rockers,1.0,3.0,4.0,867556800.0,1997.0
Cleveland Rockers,Charlotte Sting,Cleveland Rockers,1.0,3.0,4.0,867556800.0,1997.0
Phoenix Mercury,New York Liberty,Phoenix Mercury,2.0,2.0,4.0,867556800.0,1997.0
Los Angeles Sparks,Houston Comets,Los Angeles Sparks,2.0,3.0,5.0,867643200.0,1997.0
Houston Comets,Houston Comets,Los Angeles Sparks,4.0,1.0,5.0,867643200.0,1997.0
Utah Starzz,Sacramento Monarchs,Utah Starzz,2.0,3.0,5.0,867816000.0,1997.0
Sacramento Monarchs,Sacramento Monarchs,Utah Starzz,2.0,3.0,5.0,867816000.0,1997.0
Houston Comets,New York Liberty,Houston Comets,4.0,2.0,6.0,867816000.0,1997.0
New York Liberty,New York Liberty,Houston Comets,5.0,0.0,5.0,867816000.0,1997.0
Phoenix Mercury,Utah Starzz,Phoenix Mercury,3.0,2.0,5.0,867902400.0,1997.0
Los Angeles Sparks,Cleveland Rockers,Los Angeles Sparks,3.0,3.0,6.0,867902400.0,1997.0
Cleveland Rockers,Cleveland Rockers,Los Angeles Sparks,1.0,4.0,5.0,867902400.0,1997.0
Utah Starzz,Utah Starzz,Phoenix Mercury,2.0,4.0,6.0,867902400.0,1997.0
Houston Comets,Houston Comets,New York Liberty,4.0,3.0,7.0,867988800.0,1997.0
New York Liberty,Houston Comets,New York Liberty,6.0,0.0,6.0,867988800.0,1997.0
Utah Starzz,Utah Starzz,New York Liberty,2.0,5.0,7.0,868075200.0,1997.0
Los Angeles Sparks,Charlotte Sting,Los Angeles Sparks,3.0,4.0,7.0,868075200.0,1997.0
New York Liberty,Utah Starzz,New York Liberty,7.0,0.0,7.0,868075200.0,1997.0
Charlotte Sting,Charlotte Sting,Los Angeles Sparks,2.0,3.0,5.0,868075200.0,1997.0
Sacramento Monarchs,Sacramento Monarchs,Cleveland Rockers,3.0,3.0,6.0,868161600.0,1997.0
Cleveland Rockers,Sacramento Monarchs,Cleveland Rockers,1.0,5.0,6.0,868161600.0,1997.0
Houston Comets,Houston Comets,Charlotte Sting,5.0,3.0,8.0,868248000.0,1997.0
Los Angeles Sparks,Los Angeles Sparks,Cleveland Rockers,3.0,5.0,8.0,868248000.0,1997.0
New York Liberty,Phoenix Mercury,New York Liberty,7.0,1.0,8.0,868248000.0,1997.0
Sacramento Monarchs,Utah Starzz,Sacramento Monarchs,4.0,3.0,7.0,868248000.0,1997.0
Phoenix Mercury,Phoenix Mercury,New York Liberty,4.0,2.0,6.0,868248000.0,1997.0
Cleveland Rockers,Los Angeles Sparks,Cleveland Rockers,2.0,5.0,7.0,868248000.0,1997.0
Utah Starzz,Utah Starzz,Sacramento Monarchs,2.0,6.0,8.0,868248000.0,1997.0
Charlotte Sting,Houston Comets,Charlotte Sting,2.0,4.0,6.0,868248000.0,1997.0
Phoenix Mercury,Phoenix Mercury,Houston Comets,5.0,2.0,7.0,868420800.0,1997.0
Houston Comets,Phoenix Mercury,Houston Comets,5.0,4.0,9.0,868420800.0,1997.0
New York Liberty,Charlotte Sting,New York Liberty,7.0,2.0,9.0,868420800.0,1997.0
Charlotte Sting,Charlotte Sting,New York Liberty,3.0,4.0,7.0,868420800.0,1997.0
Charlotte Sting,New York Liberty,Charlotte Sting,3.0,5.0,8.0,868507200.0,1997.0
Sacramento Monarchs,Cleveland Rockers,Sacramento Monarchs,4.0,4.0,8.0,868507200.0,1997.0
New York Liberty,New York Liberty,Charlotte Sting,8.0,2.0,10.0,868507200.0,1997.0
Cleveland Rockers,Cleveland Rockers,Sacramento Monarchs,3.0,5.0,8.0,868507200.0,1997.0
Los Angeles Sparks,Los Angeles Sparks,Utah Starzz,4.0,5.0,9.0,868593600.0,1997.0
Utah Starzz,Los Angeles Sparks,Utah Starzz,2.0,7.0,9.0,868593600.0,1997.0
Utah Starzz,Utah Starzz,Phoenix Mercury,3.0,7.0,10.0,868680000.0,1997.0
Houston Comets,Houston Comets,Sacramento Monarchs,6.0,4.0,10.0,868680000.0,1997.0
Charlotte Sting,Charlotte Sting,Cleveland Rockers,4.0,5.0,9.0,868680000.0,1997.0
Sacramento Monarchs,Houston Comets,Sacramento Monarchs,4.0,5.0,9.0,868680000.0,1997.0
Cleveland Rockers,Charlotte Sting,Cleveland Rockers,3.0,6.0,9.0,868680000.0,1997.0
Phoenix Mercury,Utah Starzz,Phoenix Mercury,5.0,3.0,8.0,868680000.0,1997.0
Los Angeles Sparks,Los Angeles Sparks,Phoenix Mercury,4.0,6.0,10.0,868766400.0,1997.0
Phoenix Mercury,Los Angeles Sparks,Phoenix Mercury,6.0,3.0,9.0,868766400.0,1997.0
New York Liberty,Cleveland Rockers,New York Liberty,9.0,2.0,11.0,868852800.0,1997.0
Utah Starzz,Houston Comets,Utah Starzz,3.0,8.0,11.0,868852800.0,1997.0
Houston Comets,Houston Comets,Utah Starzz,7.0,4.0,11.0,868852800.0,1997.0
Cleveland Rockers,Cleveland Rockers,New York Liberty,3.0,7.0,10.0,868852800.0,1997.0
Los Angeles Sparks,Sacramento Monarchs,Los Angeles Sparks,4.0,7.0,11.0,868939200.0,1997.0
Cleveland Rockers,New York Liberty,Cleveland Rockers,3.0,8.0,11.0,868939200.0,1997.0
New York Liberty,New York Liberty,Cleveland Rockers,10.0,2.0,12.0,868939200.0,1997.0
Sacramento Monarchs,Sacramento Monarchs,Los Angeles Sparks,5.0,5.0,10.0,868939200.0,1997.0
Houston Comets,Los Angeles Sparks,Houston Comets,7.0,5.0,12.0,869025600.0,1997.0
Phoenix Mercury,Phoenix Mercury,Sacramento Monarchs,7.0,3.0,10.0,869025600.0,1997.0
Charlotte Sting,Charlotte Sting,Utah Starzz,5.0,5.0,10.0,869025600.0,1997.0
Utah Starzz,Charlotte Sting,Utah Starzz,3.0,9.0,12.0,869025600.0,1997.0
