id,home_team,away_team,win,loss,game_number,date,year
Atlanta Hawks,Atlanta Hawks,Cleveland Cavaliers,1,0,1,246340800.0,1978
Atlanta Hawks,Boston Celtics,Atlanta Hawks,1,1,2,246600000.0,1978
Atlanta Hawks,New Jersey Nets,Atlanta Hawks,2,1,3,246686400.0,1978
Atlanta Hawks,Atlanta Hawks,Los Angeles Lakers,3,1,4,246859200.0,1978
Atlanta Hawks,Atlanta Hawks,Seattle Supersonics,4,1,5,247208400.0,1978
Atlanta Hawks,Detroit Pistons,Atlanta Hawks,5,1,6,247294800.0,1978
Atlanta Hawks,Kansas City Kings,Atlanta Hawks,6,1,7,247467600.0,1978
Atlanta Hawks,Atlanta Hawks,Golden State Warriors,7,1,8,247554000.0,1978
Atlanta Hawks,Houston Rockets,Atlanta Hawks,8,1,9,247986000.0,1978
Atlanta Hawks,Atlanta Hawks,Portland Trail Blazers,8,2,10,248072400.0,1978
Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,8,3,11,248158800.0,1978
Atlanta Hawks,Atlanta Hawks,Philadelphia 76ers,8,4,12,248418000.0,1978
Atlanta Hawks,Boston Celtics,Atlanta Hawks,8,5,13,248504400.0,1978
Atlanta Hawks,Atlanta Hawks,New Jersey Nets,9,5,14,248763600.0,1978
Atlanta Hawks,Atlanta Hawks,Denver Nuggets,10,5,15,249109200.0,1978
Atlanta Hawks,Atlanta Hawks,Milwaukee Bucks,10,6,16,249282000.0,1978
Atlanta Hawks,Atlanta Hawks,Boston Celtics,11,6,17,249627600.0,1978
Atlanta Hawks,Buffalo Braves,Atlanta Hawks,11,7,18,249714000.0,1978
Atlanta Hawks,Golden State Warriors,Atlanta Hawks,11,8,19,249973200.0,1978
Atlanta Hawks,Phoenix Suns,Atlanta Hawks,12,8,20,250059600.0,1978
Atlanta Hawks,Seattle Supersonics,Atlanta Hawks,12,9,21,250146000.0,1978
Atlanta Hawks,Denver Nuggets,Atlanta Hawks,12,10,22,250318800.0,1978
Atlanta Hawks,Atlanta Hawks,New York Knicks,12,11,23,250491600.0,1978
Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,12,12,24,250578000.0,1978
