id,home_team,away_team,win,loss,game_number,date,year
Atlanta Dream,San Antonio Silver Stars,Atlanta Dream,1,0,1,1463198400.0,2016
Atlanta Dream,Indiana Fever,Atlanta Dream,1,1,2,1463716800.0,2016
Atlanta Dream,Atlanta Dream,Chicago Sky,2,1,3,1463889600.0,2016
Atlanta Dream,New York Liberty,Atlanta Dream,3,1,4,1464062400.0,2016
Atlanta Dream,Dallas Wings,Atlanta Dream,4,1,5,1464321600.0,2016
Atlanta Dream,Atlanta Dream,Indiana Fever,5,1,6,1464494400.0,2016
Atlanta Dream,Connecticut Sun,Atlanta Dream,6,1,7,1464926400.0,2016
Atlanta Dream,Atlanta Dream,Washington Mystics,6,2,8,1465099200.0,2016
Atlanta Dream,Atlanta Dream,Minnesota Lynx,6,3,9,1465531200.0,2016
Atlanta Dream,Atlanta Dream,Connecticut Sun,7,3,10,1465704000.0,2016
Atlanta Dream,Atlanta Dream,Chicago Sky,8,3,11,1466136000.0,2016
Atlanta Dream,Washington Mystics,Atlanta Dream,8,4,12,1466222400.0,2016
Atlanta Dream,Atlanta Dream,New York Liberty,8,5,13,1466568000.0,2016
Atlanta Dream,San Antonio Silver Stars,Atlanta Dream,8,6,14,1466827200.0,2016
Atlanta Dream,Seattle Storm,Atlanta Dream,8,7,15,1467086400.0,2016
Atlanta Dream,Los Angeles Sparks,Atlanta Dream,8,8,16,1467259200.0,2016
Atlanta Dream,Atlanta Dream,Phoenix Mercury,8,9,17,1467518400.0,2016
Atlanta Dream,Atlanta Dream,Seattle Storm,9,9,18,1467691200.0,2016
Atlanta Dream,Atlanta Dream,Dallas Wings,10,9,19,1467950400.0,2016
Atlanta Dream,Connecticut Sun,Atlanta Dream,11,9,20,1468123200.0,2016
Atlanta Dream,New York Liberty,Atlanta Dream,11,10,21,1468382400.0,2016
Atlanta Dream,Indiana Fever,Atlanta Dream,11,11,22,1468555200.0,2016
Atlanta Dream,Atlanta Dream,Los Angeles Sparks,12,11,23,1468728000.0,2016
Atlanta Dream,Minnesota Lynx,Atlanta Dream,12,12,24,1468987200.0,2016
Atlanta Dream,Atlanta Dream,Dallas Wings,13,12,25,1469160000.0,2016
Atlanta Dream,Chicago Sky,Atlanta Dream,13,13,26,1472184000.0,2016
Atlanta Dream,Atlanta Dream,Connecticut Sun,14,13,27,1472356800.0,2016
Atlanta Dream,Atlanta Dream,Seattle Storm,14,14,28,1472961600.0,2016
Atlanta Dream,Atlanta Dream,Phoenix Mercury,15,14,29,1473134400.0,2016
Atlanta Dream,Los Angeles Sparks,Atlanta Dream,16,14,30,1473307200.0,2016
Atlanta Dream,Phoenix Mercury,Atlanta Dream,16,15,31,1473566400.0,2016
Atlanta Dream,Atlanta Dream,San Antonio Silver Stars,16,16,32,1473739200.0,2016
Atlanta Dream,Atlanta Dream,Washington Mystics,17,16,33,1473912000.0,2016
Atlanta Dream,Minnesota Lynx,Atlanta Dream,17,17,34,1474084800.0,2016
Chicago Sky,Chicago Sky,Connecticut Sun,1,0,1,1463198400.0,2016
Chicago Sky,Chicago Sky,Minnesota Lynx,1,1,2,1463544000.0,2016
Chicago Sky,Atlanta Dream,Chicago Sky,1,2,3,1463889600.0,2016
Chicago Sky,Chicago Sky,Los Angeles Sparks,1,3,4,1464062400.0,2016
Chicago Sky,San Antonio Silver Stars,Chicago Sky,1,4,5,1464321600.0,2016
Chicago Sky,Dallas Wings,Chicago Sky,2,4,6,1464494400.0,2016
Chicago Sky,Washington Mystics,Chicago Sky,3,4,7,1464753600.0,2016
Chicago Sky,Chicago Sky,Washington Mystics,4,4,8,1464926400.0,2016
Chicago Sky,Indiana Fever,Chicago Sky,5,4,9,1465531200.0,2016
Chicago Sky,Phoenix Mercury,Chicago Sky,5,5,10,1465704000.0,2016
Chicago Sky,Los Angeles Sparks,Chicago Sky,5,6,11,1465876800.0,2016
Chicago Sky,Atlanta Dream,Chicago Sky,5,7,12,1466136000.0,2016
Chicago Sky,Chicago Sky,San Antonio Silver Stars,6,7,13,1466481600.0,2016
Chicago Sky,New York Liberty,Chicago Sky,6,8,14,1466740800.0,2016
Chicago Sky,Chicago Sky,Indiana Fever,6,9,15,1467172800.0,2016
Chicago Sky,Chicago Sky,Washington Mystics,7,9,16,1467345600.0,2016
Chicago Sky,Minnesota Lynx,Chicago Sky,7,10,17,1467691200.0,2016
Chicago Sky,Chicago Sky,New York Liberty,7,11,18,1467950400.0,2016
Chicago Sky,Chicago Sky,Phoenix Mercury,8,11,19,1468123200.0,2016
Chicago Sky,Chicago Sky,Los Angeles Sparks,8,12,20,1468382400.0,2016
Chicago Sky,Chicago Sky,Dallas Wings,9,12,21,1468555200.0,2016
Chicago Sky,Seattle Storm,Chicago Sky,10,12,22,1468728000.0,2016
Chicago Sky,Phoenix Mercury,Chicago Sky,11,12,23,1468900800.0,2016
Chicago Sky,Chicago Sky,Connecticut Sun,11,13,24,1469160000.0,2016
Chicago Sky,Chicago Sky,Atlanta Dream,12,13,25,1472184000.0,2016
Chicago Sky,Dallas Wings,Chicago Sky,13,13,26,1472356800.0,2016
