team,parent,history,prefix_1,prefix_2,url,secondary_color,tertiary_color,primary_color
Atlanta Hawks,,"[""Atlanta Hawks"", ""St. Louis Hawks"", ""Milwaukee Hawks"", ""Tri-Cities Blackhawks""]",atl,atlanta-hawks,http://espn.go.com/nba/team/_/name/atl/atlanta-hawks,#26282A,#D8D8D8,#E03A3E
Boston Celtics,,,bos,boston-celtics,http://espn.go.com/nba/team/_/name/bos/boston-celtics,#000000,#BA9653,#007A33
Brooklyn Nets,,"[""Brooklyn Nets"", ""New Jersey Nets"", ""New York Nets""]",bkn,brooklyn-nets,http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets,#8C8C8C,#D8D8D8,#000000
Charlotte Hornets,,"[""Charlotte Hornets"", ""Charlotte Bobcats"", ""Charlotte Hornets (Original)""]",cha,charlotte-hornets,http://espn.go.com/nba/team/_/name/cha/charlotte-hornets,#1D1160,#D8D8D8,#008CA8
Chicago Bulls,,,chi,chicago-bulls,http://espn.go.com/nba/team/_/name/chi/chicago-bulls,#000000,#D8D8D8,#CE1141
Cleveland Cavaliers,,,cle,cleveland-cavaliers,http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers,#002D62,#D8D8D8,#860038
Dallas Mavericks,,,dal,dallas-mavericks,http://espn.go.com/nba/team/_/name/dal/dallas-mavericks,#002B5E,#D8D8D8,#00538C
Denver Nuggets,,,den,denver-nuggets,http://espn.go.com/nba/team/_/name/den/denver-nuggets,#4B90CD,#D8D8D8,#002D62
Detroit Pistons,,"[""Detroit Pistons"", ""Fort Wayne Pistons""]",det,detroit-pistons,http://espn.go.com/nba/team/_/name/det/detroit-pistons,#00519A,#D8D8D8,#EB003C
Golden State Warriors,,"[""Golden State Warriors"", ""San Francisco Warriors"", ""Philadelphia Warriors""]",gs,golden-state-warriors,http://espn.go.com/nba/team/_/name/gs/golden-state-warriors,#0E3499,#e6e6e6,#FFCC33
Houston Rockets,,"[""Houston Rockets"", ""San Diego Rockets""]",hou,houston-rockets,http://espn.go.com/nba/team/_/name/hou/houston-rockets,#000000,#D8D8D8,#CE1138
Indiana Pacers,,,ind,indiana-pacers,http://espn.go.com/nba/team/_/name/ind/indiana-pacers,#FFC322,#e6e6e6,#092C57
